Slide,Title,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Bullet 6,Speaker Notes
1,Title,"APDS Deployment on Railway","Real-time IDS/IPS Dashboard (Cloud)","Backend + Frontend + Database","","","", "Introduce: we are deploying our existing APDS project to Railway so it becomes publicly accessible from anywhere."
2,Why Deploy?,"Localhost works only on one PC/Wi-Fi","Deployment gives a public HTTPS link","Teacher can access from anywhere","Shows real-world client-server architecture","","","Explain: deployment proves it’s not just a local demo; it is a hosted service like real security monitoring platforms."
3,Final Architecture,"Frontend: React/Vite Dashboard (public website)","Backend: Spring Boot API (public HTTPS API)","Database: PostgreSQL (persistent logs/blocks)","Optional: Reverse Proxy endpoint (/proxy/**)","","","Describe: 3 services in Railway project. Frontend consumes backend APIs; backend stores data in DB."
4,Frontend Role,"Shows live charts + log feed + blocks","Polls backend every few seconds","Controls: simulate attacks, train models, upload dataset","Runs in browser on any device","","","Explain: frontend is only UI; it does not detect by itself, it visualizes what backend detects."
5,Backend Role,"Receives events/requests","Detects: SQLi, XSS, brute force, rate attacks","Assigns status: NORMAL/SUSPICIOUS/BLOCKED","Blocks repeat offenders (IPS)","Stores evidence in database","","Explain: backend is the IDS/IPS brain; it applies rules + ML and writes logs."
6,Database Role,"Stores SecurityLog events","Stores IpBlock entries","Stores dataset metadata","Enables persistence across restarts","","","Explain: without DB, logs vanish on redeploy; with Postgres we keep history for evidence and reporting."
7,How Data Flows,"User opens dashboard (public URL)","Dashboard calls /api/stats, /api/logs, /api/blocks","Backend returns JSON + updates DB","Dashboard renders charts and live feed","","","Explain the loop: frontend polls, backend responds, UI updates in near real time."
8,Real-Time Detection Flow,"Traffic enters (real or simulated)","Backend extracts IP, method, path, UA","Risk score + reasons computed","Event saved + shown on dashboard","If threshold crossed → IP blocked","","Explain: detect → log → visualize → prevent. Emphasize that blocking is the IPS part."
9,Reverse Proxy Mode (Optional),"Route traffic through APDS: /proxy/**","APDS forwards to upstream app/site","APDS logs and can block before forwarding","Useful for monitoring app traffic centrally","","","Explain: in proxy mode APDS acts as the entry point; it can inspect request metadata and stop malicious clients early."
10,Key Deployment Settings,"PORT is provided by Railway","Frontend needs VITE_API_BASE = backend URL + /api","Backend needs DB URL/username/password","CORS must allow frontend domain","","","Explain: cloud deployment uses environment variables; never hardcode localhost in production."
11,Security & Limits,"Most internet traffic is HTTPS (encrypted payloads)","System focuses on behavior + request metadata","Public dashboard should be protected (auth)","Production needs rate limits + WAF rules","","","Say honestly: payload inspection is limited under HTTPS unless TLS inspection; our project demonstrates detection + response for our app/proxy traffic."
12,Demo Plan,"Open deployed dashboard URL","Simulate SQL injection → show log + score","Simulate brute force/rate → show block list","Unblock IP → show control","Upload dataset → train + show accuracy","","Explain: each click produces visible evidence in logs, counts, charts, and blocks."
13,Conclusion,"Railway deployment makes APDS accessible anywhere","Real-time IDS/IPS workflow: detect, log, block, visualize","Persistent DB enables evidence and reporting","Shows production-like architecture","","","Close: we built a complete cloud demo with clear workflow and measurable outputs."
